,city,lat,lon,population
2700,Warnes,-17.5103,-63.1647,214216.0
2702,El Tigre,8.8858,-64.2611,213524.0
2703,Divinópolis,-20.1389,-44.8839,213016.0
2704,Colombo,-25.2919,-49.2239,212967.0
2712,Colón,9.365,-79.875,204000.0
2715,Criciúma,-28.6775,-49.3697,211369.0
2724,Maracanaú,-3.8769,-38.6258,209057.0
2725,Tunja,5.5403,-73.3614,209263.0
2728,Barrancabermeja,7.0675,-73.8472,210729.0
2736,Guarenas,10.4739,-66.5383,208663.0
2748,Puerto Cabello,10.4705,-68.0296,209080.0
2769,Talca,-35.4269,-71.6656,206069.0
2770,Portoviejo,-1.0544,-80.4544,206682.0
2798,Coquimbo,-29.9532,-71.338,204068.0
2800,Parnamirim,-5.9158,-35.2628,202456.0
2807,La Guaira,10.6,-66.9331,203520.0
2824,Arica,-18.4784,-70.3211,202131.0
2826,Huacho,-11.1083,-77.6083,200585.0
2829,Cajamarca,-7.1644,-78.5106,201329.0
2841,Guacara,10.2333,-67.8833,200212.0
2846,Isidro Casanova,-34.7,-58.5833,190696.0
2848,Rio Claro,-22.4108,-47.5608,199961.0
2867,Tocuyito,10.0889,-68.0922,197446.0
2868,Alvorada,-29.99,-51.0839,195673.0
2883,Huánuco,-9.9294,-76.2397,196627.0
2887,Zipaquirá,5.0247,-74.0014,196409.0
2888,Rio Grande,-32.035,-52.0989,197228.0
2896,Acarigua,9.5597,-69.2019,195637.0
2910,La Serena,-29.9027,-71.252,195382.0
2926,San Fernando,7.894,-67.473,194274.0
2929,La Plata,-34.9333,-57.95,193144.0
2936,Godoy Cruz,-32.9167,-68.8333,191299.0
2940,Araçatuba,-21.2089,-50.4328,192757.0
2941,Castanhal,-1.2969,-47.9219,192571.0
2942,Guanare,9.0436,-69.7489,192644.0
2950,Valera,9.3206,-70.6078,191167.0
2963,Ferraz de Vasconcelos,-23.5411,-46.3689,184700.0
2964,Santa Bárbara d’Oeste,-22.7539,-47.4139,190139.0
2971,Cachoeiro de Itapemirim,-20.8489,-41.1128,189889.0
2974,Potosí,-19.5833,-65.75,189652.0
2983,Araure,9.5667,-69.2167,188800.0
2992,Angra dos Reis,-23.0069,-44.3178,188276.0
2994,Sobral,-3.6856,-40.3442,188233.0
2997,Guatire,10.4717,-66.5406,187262.0
2998,Iquique,-20.2141,-70.1524,188003.0
3002,San Diego,10.2558,-67.9539,187215.0
3012,Cabo Frio,-22.8789,-42.0189,186227.0
3031,Passo Fundo,-28.2628,-52.4069,184826.0
3050,Itajaí,-26.9078,-48.6619,183373.0
3062,Dourados,-22.2208,-54.8058,182747.0
3070,Nova Friburgo,-22.2819,-42.5308,182082.0
3073,Berazategui,-34.7679,-58.2133,180523.0
3078,Dosquebradas,4.8361,-75.6761,179301.0
3089,Turbo,8.0931,-76.7283,181000.0
3091,La Rioja,-29.4131,-66.8558,180995.0
3094,Ayacucho,-13.1631,-74.2244,180766.0
3106,Ilhéus,-14.7889,-39.0489,180213.0
3110,Barra Mansa,-22.5439,-44.1708,179915.0
3116,Tarija,-21.5317,-64.7311,179528.0
3122,Paita,-5.0667,-81.1,179346.0
3141,Nossa Senhora do Socorro,-10.855,-37.1258,177344.0
3152,Linhares,-19.3987,-40.0651,176688.0
3159,Rio Verde,-17.7978,-50.9278,176424.0
3187,Carúpano,10.6722,-63.2403,173877.0
3189,Luziânia,-16.2528,-47.95,174531.0
3218,Sacaba,-17.4042,-66.0408,172466.0
3227,Francisco Morato,-23.2817,-46.7425,168243.0
3235,Loja,-3.9906,-79.205,170280.0
3253,San Luis,-33.2994,-66.3392,169947.0
3254,Puerto Montt,-41.4718,-72.9396,169736.0
3265,Santa Rita,10.2003,-67.5514,169158.0
3270,Ambato,-1.2417,-78.6197,165185.0
3273,Itapecerica da Serra,-23.7172,-46.8494,167236.0
3274,São Caetano do Sul,-23.6228,-46.5508,158024.0
3280,Ríohacha,11.5442,-72.9069,167865.0
3283,Guarapuava,-25.395,-51.4578,167328.0
3285,Itu,-23.2642,-47.2992,167095.0
3327,Chillán,-36.6067,-72.1033,164270.0
3334,Itapetininga,-23.5917,-48.0531,157016.0
3337,Teresópolis,-22.4119,-42.9658,163746.0
3341,São José de Ribamar,-2.5619,-44.0539,163045.0
3356,Anaco,9.4333,-64.4667,162704.0
3357,Sullana,-4.9039,-80.6853,162434.0
3376,Jequié,-13.8578,-40.0839,161528.0
3381,San Miguel,-34.5333,-58.7167,157532.0
3384,José María Ezeiza,-34.8333,-58.5167,160219.0
3386,Ibirité,-20.0219,-44.0589,158954.0
3391,Bragança Paulista,-22.9189,-46.5425,160665.0
3393,Pindamonhangaba,-22.9239,-45.4617,160614.0
3395,Girón,7.0731,-73.1681,160403.0
3405,Huaycan,-12.0139,-76.825,160000.0
3406,San Nicolás de los Arroyos,-33.3333,-60.2167,160000.0
3417,Catamarca,-28.4686,-65.7792,159139.0
3444,Rafael Castillo,-34.7167,-58.6167,147965.0
3446,Río Cuarto,-33.123,-64.3478,158298.0
3451,Teixeira de Freitas,-17.535,-39.7419,157804.0
3453,Camarajibe,-8.0219,-34.9808,155054.0
3457,Calama,-22.4624,-68.9272,157575.0
3470,Lajes,-27.8158,-50.3258,156727.0
3478,Esmeraldas,0.95,-79.6667,154035.0
3488,Timon,-5.0939,-42.8369,155460.0
3490,Palo Negro,10.16,-67.5582,153706.0
3496,Caxias,-4.8589,-43.3558,155129.0
3510,Alagoinhas,-12.1356,-38.4189,154495.0
3523,Barreiras,-12.1528,-44.99,153918.0
3550,Poços de Caldas,-21.7878,-46.5608,152435.0
3560,Abaetetuba,-1.7178,-48.8828,151934.0
3570,Quevedo,-1.0333,-79.45,150827.0
3578,Riobamba,-1.6743,-78.6483,146324.0
3583,Florencio Varela,-34.8167,-58.3833,146704.0
3586,Talcahuano,-36.7145,-73.1141,147831.0
3589,Patos de Minas,-18.5871,-46.5149,150833.0
3591,Copiapó,-27.3665,-70.3323,150804.0
3596,Araguaína,-7.1908,-48.2069,150484.0
